product_category_name,product_category_name_english,exercise_noise
beleza_saude,health_beauty,TODO
informatica_acessorios,computers_accessories,TODO
automotivo,auto,TODO
cama_mesa_banho,bed_bath_table,TODO
moveis_decoracao,furniture_decor,TODO
esporte_lazer,sports_leisure,TODO
perfumaria,perfumery,TODO
utilidades_domesticas,housewares,TODO
telefonia,telephony,TODO
relogios_presentes,watches_gifts,TODO
alimentos_bebidas,food_drink,TODO
bebes,baby,TODO
papelaria,stationery,TODO
tablets_impressao_imagem,tablets_printing_image,TODO
brinquedos,toys,TODO
telefonia_fixa,fixed_telephony,TODO
ferramentas_jardim,garden_tools,TODO
fashion_bolsas_e_acessorios,fashion_bags_accessories,TODO
eletroportateis,small_appliances,TODO
consoles_games,consoles_games,TODO
audio,audio,TODO
fashion_calcados,fashion_shoes,TODO
cool_stuff,cool_stuff,TODO
malas_acessorios,luggage_accessories,TODO
climatizacao,air_conditioning,TODO
construcao_ferramentas_construcao,construction_tools_construction,TODO
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,TODO
construcao_ferramentas_jardim,costruction_tools_garden,TODO
fashion_roupa_masculina,fashion_male_clothing,TODO
pet_shop,pet_shop,TODO
moveis_escritorio,office_furniture,TODO
market_place,market_place,TODO
eletronicos,electronics,TODO
eletrodomesticos,home_appliances,TODO
artigos_de_festas,party_supplies,TODO
casa_conforto,home_confort,TODO
construcao_ferramentas_ferramentas,costruction_tools_tools,TODO
agro_industria_e_comercio,agro_industry_and_commerce,TODO
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,TODO
livros_tecnicos,books_technical,TODO
casa_construcao,home_construction,TODO
instrumentos_musicais,musical_instruments,TODO
moveis_sala,furniture_living_room,TODO
construcao_ferramentas_iluminacao,construction_tools_lights,TODO
industria_comercio_e_negocios,industry_commerce_and_business,TODO
alimentos,food,TODO
artes,art,TODO
moveis_quarto,furniture_bedroom,TODO
livros_interesse_geral,books_general_interest,TODO
construcao_ferramentas_seguranca,construction_tools_safety,TODO
fashion_underwear_e_moda_praia,fashion_underwear_beach,TODO
fashion_esporte,fashion_sport,TODO
sinalizacao_e_seguranca,signaling_and_security,TODO
pcs,computers,TODO
artigos_de_natal,christmas_supplies,TODO
fashion_roupa_feminina,fashio_female_clothing,TODO
eletrodomesticos_2,home_appliances_2,TODO
livros_importados,books_imported,TODO
bebidas,drinks,TODO
cine_foto,cine_photo,TODO
la_cuisine,la_cuisine,TODO
musica,music,TODO
casa_conforto_2,home_comfort_2,TODO
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,TODO
cds_dvds_musicais,cds_dvds_musicals,TODO
dvds_blu_ray,dvds_blu_ray,TODO
flores,flowers,TODO
artes_e_artesanato,arts_and_craftmanship,TODO
fraldas_higiene,diapers_and_hygiene,TODO
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,TODO
seguros_e_servicos,security_and_services,TODO
